n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
1414653	verse										426635	426585				Genesis	12																																		" GEN 12,01"																																												1				
606943	half_verse									1414653	426635	426585																																							A																																																
1173000	sentence				516686	428505	1236730		606943	1414653	426635	426585																																																			1																																				
1236730	sentence_atom				516686	428505		1173000	606943	1414653	426635	426585		1173000																																																	714																																				
428505	clause				516686		1236730	1173000	606943	1414653	426635	426585		1173000							clause_atoms	N																										VC											clause				1																	NA										N	WayX								
516686	clause_atom					428505	1236730	1173000	606943	1414653	426635	426585	1236730	428505																																.N	TRUE																1013	1																											WayX								
654510	phrase		907851		516686	428505	1236730	1173000	606943	1414653	426635	426585		428505					NA		clause_atoms				Conj																																						1																	NA											CP								
907851	phrase_atom			654510	516686	428505	1236730	1173000	606943	1414653	426635	426585	516686	654510					NA		clause_atoms																																										3103																	NA											CP								
5484	word		907851	654510	516686	428505	1236730	1173000	606943	1414653	426635	426585	907851	654510									50272	50238		W	ו	WA-	וַ													WA-	וַ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	5484		conj	n/a	wa		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
654511	phrase		907852		516686	428505	1236730	1173000	606943	1414653	426635	426585		428505					NA		clause_atoms				Pred																																						2																	NA											VP								
907852	phrase_atom			654511	516686	428505	1236730	1173000	606943	1414653	426635	426585	516686	654511					NA		clause_atoms																																										3104																	NA											VP								
5485	word		907852	654511	516686	428505	1236730	1173000	606943	1414653	426635	426585	907852	654511									5307	2160		J>MR	יאמר	>MER	אמֶר			!J.O!	יֹּ					[				J.O70>MER	יֹּ֤אמֶר	say	m							Hebrew	hbo	>MR[	>MR	אמר		quot			absent	sg	5485		verb	J	yyˈōmer	 	absent	unknown	unknown	unknown	p3					11	18			verb	NA	unknown	unknown	unknown		 	 			absent		absent		>MR	אמר	qal	wayq
654512	phrase		907853		516686	428505	1236730	1173000	606943	1414653	426635	426585		428505					det		clause_atoms				Subj																																						3																	NA											PrNP								
907853	phrase_atom			654512	516686	428505	1236730	1173000	606943	1414653	426635	426585	516686	654512					det		clause_atoms																																										3105																	NA											PrNP								
