n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
426647	chapter											426585				Genesis	24																																																																																		
1414946	verse										426647	426585				Genesis	24																																		" GEN 24,01"																																												1				
607512	half_verse									1414946	426647	426585																																							A																																																
1173893	sentence				517873	429660	1237631		607512	1414946	426647	426585																																																			1																																				
1237631	sentence_atom				517873	429660		1173893	607512	1414946	426647	426585		1173893																																																	1615																																				
429660	clause				517873		1237631	1173893	607512	1414946	426647	426585		1173893							clause_atoms	?																										VC											clause				1																	NA										?	WXQt								
517873	clause_atom					429660	1237631	1173893	607512	1414946	426647	426585	1237631	429660																																.N	TRUE																2200	1																											WXQt								
658021	phrase		911534		517873	429660	1237631	1173893	607512	1414946	426647	426585		429660					NA		clause_atoms				Conj																																						1																	NA											CP								
911534	phrase_atom			658021	517873	429660	1237631	1173893	607512	1414946	426647	426585	517873	658021					NA		clause_atoms																																										6786																	NA											CP								
11108	word		911534	658021	517873	429660	1237631	1173893	607512	1414946	426647	426585	911534	658021									50272	50238		W	ו	W:-	וְ													W:-	וְ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	11108		conj	n/a	wᵊ		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
658022	phrase		911535		517873	429660	1237631	1173893	607512	1414946	426647	426585		429660					det		clause_atoms				Subj																																						2																	NA											PrNP								
911535	phrase_atom			658022	517873	429660	1237631	1173893	607512	1414946	426647	426585	517873	658022					det		clause_atoms																																										6787																	NA											PrNP								
11109	word		911535	658022	517873	429660	1237631	1173893	607512	1414946	426647	426585	911535	658022									175	175		>BRHM	אברהם	>AB:R@H@M	אַבְרָהָם	/	֜											>AB:R@H@74M	אַבְרָהָ֣ם	Abraham	m							Hebrew	hbo	>BRHM/	>BRHM	אברהם		none		pers		sg	11109		nmpr	n/a	ʔavrāhˈām	 	n/a	NA	NA	NA	NA					268	248			nmpr	a	NA	NA	NA		 	 			absent	n/a	n/a		>AB:R@H@M	אַבְרָהָם	NA	NA
658023	phrase		911536		517873	429660	1237631	1173893	607512	1414946	426647	426585		429660					NA		clause_atoms				Pred																																						3																	NA											VP								
911536	phrase_atom			658023	517873	429660	1237631	1173893	607512	1414946	426647	426585	517873	658023					NA		clause_atoms																																										6788																	NA											VP								
11110	word		911536	658023	517873	429660	1237631	1173893	607512	1414946	426647	426585	911536	658023									24	57		ZQN	זקן	Z@Q;N	זָקֵן									[				Z@Q;80N	זָקֵ֔ן	be old	m							Hebrew	hbo	ZQN[	ZQN	זקן		none			absent	sg	11110		verb	absent	zāqˈēn	 	absent	unknown	unknown	unknown	p3					1286	697			verb	NA	unknown	unknown	unknown		 	 			absent		absent		ZQN	זקן	qal	perf
1173894	sentence				517874	429661	1237632		607512	1414946	426647	426585																																																			2																																				
1237632	sentence_atom				517874	429661		1173894	607512	1414946	426647	426585		1173894																																																	1616																																				
429661	clause				517874		1237632	1173894	607512	1414946	426647	426585		1173894							clause_atoms	?																										VC											clause				1																	NA										?	ZQt0								
517874	clause_atom					429661	1237632	1173894	607512	1414946	426647	426585	1237632	429661	517873			122		-1																										..	FALSE																2201	1																							3				ZQt0								
658024	phrase		911537		517874	429661	1237632	1173894	607512	1414946	426647	426585		429661					NA		clause_atoms				Pred																																						1																	NA											VP								
911537	phrase_atom			658024	517874	429661	1237632	1173894	607512	1414946	426647	426585	517874	658024					NA		clause_atoms																																										6789																	NA											VP								
11111	word		911537	658024	517874	429661	1237632	1173894	607512	1414946	426647	426585	911537	658024									2570	399		B>	בא	B.@>	בָּא									[				B.@73>	בָּ֖א	come	m							Hebrew	hbo	BW>[	BW>	בוא		none			absent	sg	11111		verb	absent	bˌā	 	absent	unknown	unknown	unknown	p3					19	84			verb	NA	unknown	unknown	unknown		 	 			absent		absent		BW>	בוא	qal	perf
658025	phrase		911538		517874	429661	1237632	1173894	607512	1414946	426647	426585		429661					det		clause_atoms				Cmpl																																						2																	NA											PP								
911538	phrase_atom			658025	517874	429661	1237632	1173894	607512	1414946	426647	426585	517874	658025					det		clause_atoms																																										6790																	NA											PP								
